company_name,phone,address,rating,review,website,google_maps_link
VerduurzaamNu,"
+31 20 238 9292","
Zekeringstraat 48, 1014 BT Amsterdam, Pays-Bas","4,9",67,https://www.verduurzaamnu.nl/,https://www.google.com/maps/place/VerduurzaamNu/data=!4m7!3m6!1s0xac755395d249ff23:0xe364109465a4c836!8m2!3d52.3971387!4d4.8475687!16s%2Fg%2F11y80vhwr7!19sChIJI_9J0pVTdawRNsikZZQQZOM?authuser=0&hl=fr&rclk=1
Sungevity Nederland,"
+31 20 309 0901","
Gedempt Hamerkanaal 209, 1021 KP Amsterdam, Pays-Bas","2,3",230,,https://www.google.com/maps/place/Sungevity+Nederland/data=!4m7!3m6!1s0x47c60eca78d787a9:0x630a399ca059c5ef!8m2!3d52.382632!4d4.920398!16s%2Fg%2F11c30p0v5f!19sChIJqYfXeMoOxkcR78VZoJw5CmM?authuser=0&hl=fr&rclk=1
Solar Nederland B.V.,"
+31 88 765 2777","
Dynamostraat 5, 1014 BN Amsterdam, Pays-Bas","5,0",2,http://www.solar.nl/,https://www.google.com/maps/place/Solar+Nederland+B.V./data=!4m7!3m6!1s0x47c5e28cc6d26575:0xe556b89de6e834fd!8m2!3d52.3974092!4d4.8509138!16s%2Fg%2F1thcrjl9!19sChIJdWXSxozixUcR_TTo5p24VuU?authuser=0&hl=fr&rclk=1
Green Wave,"
+31 20 227 9665","
Haarlemmerweg 319D, 1051 LG Amsterdam, Pays-Bas","4,9",47,http://www.green-wave.nl/,https://www.google.com/maps/place/Green+Wave/data=!4m7!3m6!1s0x47c5e3f682320df7:0xc22df9782ef17!8m2!3d52.3851203!4d4.866412!16s%2Fg%2F11q8gzh7w9!19sChIJ9w0ygvbjxUcRF--Cl98iDAA?authuser=0&hl=fr&rclk=1
Zon&Co,"
+31 20 777 1781","
Molenkade 59, 1115 AC Duivendrecht, Pays-Bas","4,7",77,http://www.zonenco.nl/,https://www.google.com/maps/place/Zon%26Co/data=!4m7!3m6!1s0x47c6096fbbb3bfcd:0x85b85496ca74d97b!8m2!3d52.3377692!4d4.9499275!16s%2Fg%2F1td6rfb_!19sChIJzb-zu28JxkcRe9l0ypZUuIU?authuser=0&hl=fr&rclk=1
Clevaris,"
+31 85 505 5452","
Hullenbergweg 278, 1101 BV Amsterdam, Pays-Bas","5,0",14,https://www.clevaris.nl/,https://www.google.com/maps/place/Clevaris/data=!4m7!3m6!1s0x28c6f54471861699:0x3350a2b167bd22b7!8m2!3d52.3050966!4d4.9517278!16s%2Fg%2F11x7md7ppy!19sChIJmRaGcUT1xigRtyK9Z7GiUDM?authuser=0&hl=fr&rclk=1
Solar Meesters,"
+31 6 82225136","
Helena Mercierstraat 3H, 1066 AJ Amsterdam, Pays-Bas","5,0",6,https://www.solarmeesters.nl/,https://www.google.com/maps/place/Solar+Meesters/data=!4m7!3m6!1s0x41d17a5fc51d4843:0xcf0b4d0c96f9c38c!8m2!3d52.3484151!4d4.8285948!16s%2Fg%2F11vbgm2s9s!19sChIJQ0gdxV960UERjMP5lgxNC88?authuser=0&hl=fr&rclk=1
Solar Evolution,"
+31 35 785 7761","
Vliegdenweg 8, 1406 MZ Bussum, Pays-Bas","4,8",67,http://www.solarevolution.nl/,https://www.google.com/maps/place/Solar+Evolution/data=!4m7!3m6!1s0x47c613bb50fe5fbf:0x5723e9a878ca8c08!8m2!3d52.2695925!4d5.154687!16s%2Fg%2F11hzrsm1vq!19sChIJv1_-ULsTxkcRCIzKeKjpI1c?authuser=0&hl=fr&rclk=1
SunWatt B.V.,"
+31 20 308 6367","
Afmijnstraat 15, 1187 ZZ Amstelveen, Pays-Bas","4,9",58,https://www.sun-watt.nl/,https://www.google.com/maps/place/SunWatt+B.V./data=!4m7!3m6!1s0x47c60382c9d8fc47:0x8a833c9c98ff8f5b!8m2!3d52.262223!4d4.799516!16s%2Fg%2F11lp5_nvmm!19sChIJR_zYyYIDxkcRW4__mJw8g4o?authuser=0&hl=fr&rclk=1
The Go To Guy(s),"
+31 6 13190046","
Wolbrantskerkweg 80b, 1069 DA Amsterdam, Pays-Bas","4,6",10,http://www.thegotoguys.nl/,https://www.google.com/maps/place/The+Go+To+Guy%28s%29/data=!4m7!3m6!1s0x2ecec3d51ae62201:0xd17200f18de0f141!8m2!3d52.3558693!4d4.7977306!16s%2Fg%2F11ttb9q_qr!19sChIJASLmGtXDzi4RQfHgjfEActE?authuser=0&hl=fr&rclk=1
Zonkracht Nederland BV,"
+31 6 12345678","
Pampuslaan 204, 1382 JS Weesp, Pays-Bas","4,8",87,https://www.zonkrachtnederland.nl/,https://www.google.com/maps/place/Zonkracht+Nederland+BV/data=!4m7!3m6!1s0x47c60d5ad6b5cbdf:0x70014672d1ae680a!8m2!3d52.3180439!4d5.0254774!16s%2Fg%2F11s47ngbk4!19sChIJ38u11loNxkcRCmiu0XJGAXA?authuser=0&hl=fr&rclk=1
Solar Fast,"
+31 20 250 4670","
Keurmeesterstraat 10, 1187 ZX Amstelveen, Pays-Bas","4,7",87,http://www.solarfast.nl/,https://www.google.com/maps/place/Solar+Fast/data=!4m7!3m6!1s0xa90ede0aa0a5bbcf:0x75d6313c860680f7!8m2!3d52.261978!4d4.802062!16s%2Fg%2F11k4rqsfz7!19sChIJz7uloAreDqkR94AGhjwx1nU?authuser=0&hl=fr&rclk=1
Eneco Duurzaam Wonen (voorheen Suniverse),,"
Joan Muyskenweg 22, 1096 CJ Amsterdam, Pays-Bas","3,5",41,,https://www.google.com/maps/place/Eneco+Duurzaam+Wonen+%28voorheen+Suniverse%29/data=!4m7!3m6!1s0x47c609e9b340488d:0xc349956e5d366aaf!8m2!3d52.3327517!4d4.9151766!16s%2Fg%2F1tjhww6s!19sChIJjUhAs-kJxkcRr2o2XW6VScM?authuser=0&hl=fr&rclk=1
Feenstra Amsterdam,"
+31 88 845 5000","
Schepenbergweg 29, 1105 AS Amsterdam, Pays-Bas","3,2",754,https://www.feenstra.com/klantenservice/vestiging/amsterdam/,https://www.google.com/maps/place/Feenstra+Amsterdam/data=!4m7!3m6!1s0x47c60b70d5208669:0xb6a18a11a58b9b11!8m2!3d52.2952759!4d4.9451912!16s%2Fg%2F11b7hl7jd0!19sChIJaYYg1XALxkcREZuLpRGKobY?authuser=0&hl=fr&rclk=1
Nu Groen,"
+31 85 087 2345","
Zekeringstraat 43, 1014 BV Amsterdam, Pays-Bas","5,0",2,,https://www.google.com/maps/place/Nu+Groen/data=!4m7!3m6!1s0x47c5e3f3e86f4937:0x821dc98869611d66!8m2!3d52.3957771!4d4.8494909!16s%2Fg%2F11s88y3wc_!19sChIJN0lv6PPjxUcRZh1haYjJHYI?authuser=0&hl=fr&rclk=1
Your Solar,"
+31 20 700 8838",,"5,0",12,http://www.yoursolar.nl/,https://www.google.com/maps/place/Your+Solar/data=!4m7!3m6!1s0x8791aff0a1938e19:0x799f722985a112b1!8m2!3d52.1909763!4d5.2795551!16s%2Fg%2F11sf34hfp_!19sChIJGY6TofCvkYcRsRKhhSlyn3k?authuser=0&hl=fr&rclk=1
De Zoncorporatie,"
+31 88 311 0333","
Johan van Hasseltweg 27, 1021 KN Amsterdam, Pays-Bas","4,0",95,https://www.norm.eu/,https://www.google.com/maps/place/De+Zoncorporatie/data=!4m7!3m6!1s0x47c609b3dcea040f:0xdbb34c60b9c67f08!8m2!3d52.3850335!4d4.9292979!16s%2Fg%2F11gzqmdkwg!19sChIJDwTq3LMJxkcRCH_GuWBMs9s?authuser=0&hl=fr&rclk=1
Powergy Elektrotechniek,"
+31 20 308 6152","
Weissmanstraat 13, 1067 RB Amsterdam, Pays-Bas","5,0",27,http://powergy-elektro.nl/,https://www.google.com/maps/place/Powergy+Elektrotechniek/data=!4m7!3m6!1s0x47c5e3d25979946f:0xaf4a1d715cef0ef9!8m2!3d52.3754438!4d4.7962853!16s%2Fg%2F11rcdhhstt!19sChIJb5R5WdLjxUcR-Q7vXHEdSq8?authuser=0&hl=fr&rclk=1
Energie Familie,"
+31 20 840 6745","
Leksmondhof 120, 1108 ES Amsterdam, Pays-Bas","5,0",2,,https://www.google.com/maps/place/Energie+Familie/data=!4m7!3m6!1s0x47c60c6f5ca8c06f:0xac53cf1a240b8074!8m2!3d52.3103107!4d4.9828475!16s%2Fg%2F11fn1m61h8!19sChIJb8CoXG8MxkcRdIALJBrPU6w?authuser=0&hl=fr&rclk=1
Zon-X,"
+31 20 308 6588","
Kabelweg 22, 1014 AX Amsterdam, Pays-Bas","5,0",8,https://www.zonx.nl/,https://www.google.com/maps/place/Zon-X/data=!4m7!3m6!1s0x47c5e3581edf8315:0x84b928d93a8c6295!8m2!3d52.3896521!4d4.8479791!16s%2Fg%2F11y3ylb_3x!19sChIJFYPfHljjxUcRlWKMOtkouYQ?authuser=0&hl=fr&rclk=1
Electra,"
+31 6 34210938","
Stromarkt 15, 1012 SW Amsterdam, Pays-Bas","4,9",32,,https://www.google.com/maps/place/Electra/data=!4m7!3m6!1s0x47c6097b0ebbaba1:0xb59995dafffa755a!8m2!3d52.3785286!4d4.894517!16s%2Fg%2F11x88k8g7m!19sChIJoau7DnsJxkcRWnX6_9qVmbU?authuser=0&hl=fr&rclk=1
Energie In Huis,"
+31 88 244 0800","
Joan Muyskenweg 22, 1096 CJ Amsterdam, Pays-Bas","3,7",55,https://www.energieinhuis.nl/,https://www.google.com/maps/place/Energie+In+Huis/data=!4m7!3m6!1s0x47c4292622284849:0xe3768a94649596d!8m2!3d52.3327517!4d4.9151766!16s%2Fg%2F1v_nbpgr!19sChIJSUgoIiYpxEcRbVlJRqloNw4?authuser=0&hl=fr&rclk=1
Factor 50 B.V.,"
+31 20 308 6969","
Aambeeldstraat 32, 1021 KB Amsterdam, Pays-Bas","5,0",4,https://factor50.nl/,https://www.google.com/maps/place/Factor+50+B.V./data=!4m7!3m6!1s0x47c60906f4f5a277:0xaa105c49e7986597!8m2!3d52.3835893!4d4.9307813!16s%2Fg%2F11mwzlc_d_!19sChIJd6L19AYJxkcRl2WY50lcEKo?authuser=0&hl=fr&rclk=1
