company_name,phone,address,rating,review,website,google_maps_link
Ensys,,"
Lieven Gevaertstraat 1C, 2950 Kapellen, Belgique","4,9",482,https://ensys.be/,https://www.google.com/maps/place/Ensys/data=!4m7!3m6!1s0x47c40be8ccebf665:0xa5bd66ef0c6c12f3!8m2!3d51.2999409!4d4.4365131!16s%2Fg%2F11b6p911rz!19sChIJZfbrzOgLxEcR8xJsDO9mvaU?authuser=0&hl=fr&rclk=1
Solarunity bv,"
+32 479 64 08 44","
Richard Orlentstraat 113, 2070 Beveren-Kruibeke-Zwijndrecht, Belgique","5,0",18,https://www.solarunity.eu/,https://www.google.com/maps/place/Solarunity+bv/data=!4m7!3m6!1s0x47c3f52ad78c0651:0x213f41291953b9e2!8m2!3d51.2221719!4d4.3211153!16s%2Fg%2F11n145nw7x!19sChIJUQaM1yr1w0cR4rlTGSlBPyE?authuser=0&hl=fr&rclk=1
ECOnics,"
+31 6 16120380","
Vestinglaan 57, 2650 Edegem, Belgique","4,8",25,http://www.econics.be/,https://www.google.com/maps/place/ECOnics/data=!4m7!3m6!1s0x47c3f12899c9f40d:0xc101a96a7ea27670!8m2!3d51.1686157!4d4.4324079!16s%2Fg%2F11kj0c42jz!19sChIJDfTJmSjxw0cRcHaifmqpAcE?authuser=0&hl=fr&rclk=1
Power Company,"
+32 485 48 04 09","
Nijverheidsstraat 70, 2160 Wommelgem, Belgique","5,0",32,http://www.powercompany.be/,https://www.google.com/maps/place/Power+Company/data=!4m7!3m6!1s0x47c3f760e9eaf501:0xffeccdf771964619!8m2!3d51.2106386!4d4.510339!16s%2Fg%2F11h3tjln_v!19sChIJAfXq6WD3w0cRGUaWcffN7P8?authuser=0&hl=fr&rclk=1
Groenhuis Energie,"
+32 3 314 05 66","
Paulus Beyestraat 39, 2100 Antwerpen, Belgique","5,0",39,https://groenhuisenergie.be/,https://www.google.com/maps/place/Groenhuis+Energie/data=!4m7!3m6!1s0x2dab00180f3f613d:0x82c1dda66b8182d3!8m2!3d51.2243938!4d4.4675665!16s%2Fg%2F11wr9rbr1c!19sChIJPWE_DxgAqy0R04KBa6bdwYI?authuser=0&hl=fr&rclk=1
One Solar,,"
Nieuwlandstraat 2/F1, 9120 Beveren-Kruibeke-Zwijndrecht, Belgique","4,6",36,http://www.onesolar.be/,https://www.google.com/maps/place/One+Solar/data=!4m7!3m6!1s0x47c3f5e65fb573af:0x994a759c59184ebe!8m2!3d51.2068026!4d4.3149438!16s%2Fg%2F11pzgt41cy!19sChIJr3O1X-b1w0cRvk4YWZx1Spk?authuser=0&hl=fr&rclk=1
de Zonnebroeders,"
+32 3 331 33 69","
Ter Stratenweg 44J, 2520 Antwerpen, Belgique","4,9",188,http://zonnebroeders.be/,https://www.google.com/maps/place/de+Zonnebroeders/data=!4m7!3m6!1s0x47c3f7c4d2280c6f:0x969f0f1561fa9222!8m2!3d51.2094209!4d4.581454!16s%2Fg%2F11jjrykhdk!19sChIJbwwo0sT3w0cRIpL6YRUPn5Y?authuser=0&hl=fr&rclk=1
Enervia,"
+32 3 808 86 66","
Mechelsesteenweg 472, 2650 Edegem, Belgique","4,9",19,http://www.enervia.be/,https://www.google.com/maps/place/Enervia/data=!4m7!3m6!1s0x47c3f16575909ce7:0xb0798da2c796f284!8m2!3d51.163634!4d4.4556072!16s%2Fg%2F11yll24t25!19sChIJ55yQdWXxw0cRhPKWx6KNebA?authuser=0&hl=fr&rclk=1
E-Activ | Facade & Skylight Systems,"
+32 3 377 98 60","
Borsbeeksebrug 34/1, 2600 Antwerpen, Belgique","5,0",1,https://e-activ.be/,https://www.google.com/maps/place/E-Activ+%7C+Facade+%26+Skylight+Systems/data=!4m7!3m6!1s0x47c3f7ef114e58d9:0x69a8f8f148764e09!8m2!3d51.2002643!4d4.4342643!16s%2Fg%2F11jt3scycv!19sChIJ2VhOEe_3w0cRCU52SPH4qGk?authuser=0&hl=fr&rclk=1
DADO SYSTEMS,"
+32 476 60 54 82","
Galliardstraat 42, 2610 Antwerpen, Belgique","5,0",18,http://www.dadosystems.com/,https://www.google.com/maps/place/DADO+SYSTEMS/data=!4m7!3m6!1s0x47c3f13a0d44f835:0x1b62f59ff33c73a6!8m2!3d51.17234!4d4.4306666!16s%2Fg%2F1tf237hz!19sChIJNfhEDTrxw0cRpnM885_1Yhs?authuser=0&hl=fr&rclk=1
Bentech,"
+32 3 230 11 32","
Frankrijklei 84, 2000 Antwerpen, Belgique","5,0",46,https://bentech-elektriciteit.be/,https://www.google.com/maps/place/Bentech/data=!4m7!3m6!1s0x47c3f7fd0c3dc8a1:0x4aad20471bea4170!8m2!3d51.2160091!4d4.4135459!16s%2Fg%2F11tgfpllx6!19sChIJocg9DP33w0cRcEHqG0cgrUo?authuser=0&hl=fr&rclk=1
Brabo Technics,"
+32 3 247 89 12","
Vlaamsekaai 90, 2000 Antwerpen, Belgique","4,8",85,https://www.brabotechnics.be/,https://www.google.com/maps/place/Brabo+Technics/data=!4m7!3m6!1s0x47c3f6948ff55059:0x7b58dde0699cb679!8m2!3d51.2067184!4d4.3871961!16s%2Fg%2F11c0ttrnsf!19sChIJWVD1j5T2w0cRebacaeDdWHs?authuser=0&hl=fr&rclk=1
Green Energy Comfort,,"
Hovesesteenweg 114, 2530 Boechout, Belgique","4,9",19,http://www.greenenergycomfort.com/,https://www.google.com/maps/place/Green+Energy+Comfort/data=!4m7!3m6!1s0x47c3fbd6bbd54937:0x361f4667eff7c2b2!8m2!3d51.1570729!4d4.4850702!16s%2Fg%2F11h3qq3ngd!19sChIJN0nVu9b7w0cRssL372dGHzY?authuser=0&hl=fr&rclk=1
ERRA electronics & domotica,"
+32 489 12 22 01","
Borsbeeksesteenweg 72, 2100 Antwerpen, Belgique","4,9",15,https://www.erra-electronics-domotica.be/,https://www.google.com/maps/place/ERRA+electronics+%26+domotica/data=!4m7!3m6!1s0x47c3f9a9aab995fb:0xae7e81afd6f15f49!8m2!3d51.1944378!4d4.4703189!16s%2Fg%2F11x8g79_6g!19sChIJ-5W5qqn5w0cRSV_x1q-Bfq4?authuser=0&hl=fr&rclk=1
TVDA Technics - Erkend installateur zonnepanelen,"
+32 499 98 51 61","
Rodeborgstraat 19, 2900 Schoten, Belgique","4,9",32,https://www.tvda-technics.be/,https://www.google.com/maps/place/TVDA+Technics+-+Erkend+installateur+zonnepanelen/data=!4m7!3m6!1s0xa3aa66ee2a7bc8af:0x1b5d4b7ad7fd7b7a!8m2!3d51.2538304!4d4.49846!16s%2Fg%2F11spkb5msw!19sChIJr8h7Ku5mqqMRenv913pLXRs?authuser=0&hl=fr&rclk=1
Renovibe AG,"
+32 487 31 78 67","
Van Dornestraat 42, 2100 Antwerpen, Belgique","4,9",66,https://www.renovibe-ag.be/,https://www.google.com/maps/place/Renovibe+AG/data=!4m7!3m6!1s0x47c3f7c3af4b44af:0x7790ab1c59f835a9!8m2!3d51.2312253!4d4.4546919!16s%2Fg%2F11vd894qf5!19sChIJr0RLr8P3w0cRqTX4WRyrkHc?authuser=0&hl=fr&rclk=1
